"id","name","url","location","fields","appreciations","views"
"7902827","Delord Jean-François & Simon-Pierre","https://www.behance.net/simon_pierre_delord","Paris, France","Product Design,Art Direction,Jewelry Design","21228","49465"
"1126899","Bikramjit Bose","https://www.behance.net/bikramjitbose","New Delhi, India","Photography,Fashion,Jewelry Design","8325","120831"
"791345","Adrien Coroller","https://www.behance.net/adriencoroller","Auxonne, France","Sculpting,Fine Arts,Jewelry Design","6834","113031"
"54338","Lisa Black","https://www.behance.net/LisaBlack","Auckland, New Zealand","Sculpting,Jewelry Design","6660","295815"
"4388505","Przemysław Wańczyk","https://www.behance.net/PrzemyslawWanczyk","Zakopane, Poland","Crafts,Jewelry Design,Fashion","6566","22812"
"50518","Victor Soto","https://www.behance.net/vinta-co","Manhattan, NY, USA","Product Design,Photography,Jewelry Design","5068","94625"
"150478","Milko Boyarov","https://www.behance.net/milkoboyarov","Sofia, Bulgaria","Jewelry Design,Photography,Fashion","4269","67093"
"474295","SMITH/GREY","https://www.behance.net/smith_grey","London, United Kingdom","Jewelry Design,Fashion,Design","4157","71427"
"1961535","Florence Libbrecht","https://www.behance.net/FlorenceLibbrecht","Brussels, Belgium","Branding,Packaging,Jewelry Design","3956","46931"
"705582","Leslie McGwire™ ASID Allied American Society of Interior Designers","https://www.behance.net/Leslie_McGwire","Bloomfield Hills, MI, USA","Interior Design,Jewelry Design,Interaction Design","3768","39915"
"2745887","Michael Mueller","https://www.behance.net/Pookas","Würzburg, Germany","Jewelry Design,Fashion,Sculpting","3764","41460"
"264349","Guli Cohen","https://www.behance.net/gulicohen","Tel Aviv, Israel","Photography,Fashion,Jewelry Design","3183","57226"
"2904969","Baptiste Mathieu","https://www.behance.net/BaptisteMATHIEU","Paris, France","Industrial Design,Jewelry Design,Photography","2990","30352"
"114454","N I I R O jewelry","https://www.behance.net/NIIRO","Izola/Isola, Slovenia","Jewelry Design,Photography,Fashion","2972","44580"
"4010557","Fourspeed Metalwerks","https://www.behance.net/fourspeedindonesia","Bandung, Indonesia","Branding,Jewelry Design,Crafts","2952","36289"
"163970","Cova Ríos","https://www.behance.net/covarios","Madrid, Spain","Fine Arts,Jewelry Design,Product Design","2950","12404"
"179122","Jhonatan Ayala","https://www.behance.net/cOrDeroLiFe","Lima, Peru","Fashion Styling,Packaging,Jewelry Design","2846","44588"
"122890","Eva Tyvodar","https://www.behance.net/evereve","Warsaw, Poland","Jewelry Design,Photography,Fashion","2644","34004"
"5549247","Fabrice Gonet","https://www.behance.net/FabriceGonet","Lausanne, Switzerland","Product Design,Industrial Design,Jewelry Design","2418","27312"
"173686","natalia criado","https://www.behance.net/nataliacriado","Bogotá, Colombia","Jewelry Design,Fashion,Industrial Design","2306","41156"
"340915","Budai Rajziskola l Art School of Buda","https://www.behance.net/budai_rajziskola","Budapest, Hungary","Graphic Design,Photography,Jewelry Design","1900","46847"
"2235369","Smiths Workshop","https://www.behance.net/SmithsWorkshop","Saint Petersburg, Russian Federation","Packaging,Industrial Design,Jewelry Design","1938","37644"
"2806593","mo-endesign .com","https://www.behance.net/mo-endesign","Melbourne, Australia","Product Design,Jewelry Design,Fine Arts","1922","21757"
"1146969","Silverleaf Creations","https://www.behance.net/silverleaf","Udine, Italy","Jewelry Design,Crafts,Product Design","1847","20333"
"3996881","Sanja Rotter","https://www.behance.net/sanjarotter","Zagreb, Croatia","Product Design,Furniture Design,Jewelry Design","1792","18684"
"664672","Naju","https://www.behance.net/naju","London, United Kingdom","Crafts,Graphic Design,Jewelry Design","1778","30229"
"87927","Tobiah Adam","https://www.behance.net/adamtj","Toronto, Ontario, Canada","Fashion,Design,Jewelry Design","1757","88080"
"2362539","Frederic Gooris","https://www.behance.net/studiogooris","Tsim Sha Tsui, Hong Kong","Industrial Design,Product Design,Jewelry Design","1699","55599"
"5819145","Quinton Theron","https://www.behance.net/quintontheron","Savannah, GA, USA","Industrial Design,Product Design,Jewelry Design","1673","19328"
"1339493","Gusztáv Szikszai","https://www.behance.net/gdotdesign","Budapest, Hungary","Jewelry Design,Industrial Design","1537","20914"
"280419","Vikenty Gryaznov","https://www.behance.net/vikentygryaznov","Saint Petersburg, Russian Federation","Product Design,Industrial Design,Jewelry Design","1515","22731"
"161790","Gonçalo Campos","https://www.behance.net/goncalocampos","London, United Kingdom","Product Design,Furniture Design,Jewelry Design","1495","19156"
